instant,dteday_x,season_x,yr_x,mnth_x,holiday_x,weekday_x,workingday_x,weathersit_x,temp_x,atemp_x,hum_x,windspeed_x,casual_x,registered_x,cnt_x,dteday_y,season_y,yr_y,mnth_y,hr,holiday_y,weekday_y,workingday_y,weathersit_y,temp_y,atemp_y,hum_y,windspeed_y,casual_y,registered_y,cnt_y
13,2011-01-13,Spring,0,1,0,4,1,1,-8,-9,47.0417,30.099999999999998,38,1368,1406,2011-01-01,Spring,0,1,12,0,6,0,1,5,5,77.0,28.360000000000003,29,55,84
14,2011-01-14,Spring,0,1,0,5,1,1,-8,-7,53.7826,12.6548,54,1367,1421,2011-01-01,Spring,0,1,13,0,6,0,2,7,7,72.0,29.849999999999998,47,47,94
15,2011-01-15,Spring,0,1,0,6,0,2,-4,-3,49.875,15.796299999999999,222,1026,1248,2011-01-01,Spring,0,1,14,0,6,0,2,7,7,72.0,28.360000000000003,35,71,106
16,2011-01-16,Spring,0,1,0,0,0,1,-4,-4,48.375,18.8433,251,953,1204,2011-01-01,Spring,0,1,15,0,6,0,2,6,6,77.0,29.849999999999998,40,70,110
17,2011-01-17,Spring,0,1,1,1,0,2,-8,-7,53.75,19.401699999999998,117,883,1000,2011-01-01,Spring,0,1,16,0,6,0,2,5,5,82.0,29.849999999999998,41,52,93
18,2011-01-18,Spring,0,1,0,2,1,2,-5,-4,86.16669999999999,14.677499999999998,9,674,683,2011-01-01,Spring,0,1,17,0,6,0,2,6,6,82.0,28.360000000000003,15,52,67
19,2011-01-19,Spring,0,1,0,3,1,2,-1,-1,74.1739,20.8317,78,1572,1650,2011-01-01,Spring,0,1,18,0,6,0,3,5,5,88.0,25.369999999999997,9,26,35
20,2011-01-20,Spring,0,1,0,4,1,2,-3,-3,53.833299999999994,19.5904,83,1844,1927,2011-01-01,Spring,0,1,19,0,6,0,3,5,5,88.0,25.369999999999997,6,31,37
21,2011-01-21,Spring,0,1,0,5,1,1,-7,-9,45.7083,35.3242,75,1468,1543,2011-01-01,Spring,0,1,20,0,6,0,2,4,4,87.0,25.369999999999997,11,25,36
22,2011-01-22,Spring,0,1,0,6,0,1,-14,-13,40.0,17.197000000000003,93,888,981,2011-01-01,Spring,0,1,21,0,6,0,2,4,4,87.0,19.400000000000002,3,31,34
23,2011-01-23,Spring,0,1,0,0,0,1,-12,-12,43.6522,24.66,150,836,986,2011-01-01,Spring,0,1,22,0,6,0,2,4,4,94.0,22.39,11,17,28
24,2011-01-24,Spring,0,1,0,1,1,1,-12,-11,49.173899999999996,15.833,86,1330,1416,2011-01-01,Spring,0,1,23,0,6,0,2,7,7,88.0,29.849999999999998,15,24,39
25,2011-01-25,Spring,0,1,0,2,1,2,-5,-4,61.695699999999995,12.9796,186,1799,1985,2011-01-02,Spring,0,1,0,0,0,0,2,7,7,88.0,29.849999999999998,4,13,17
26,2011-01-26,Spring,0,1,0,3,1,3,-5,-6,86.25,29.385,34,472,506,2011-01-02,Spring,0,1,1,0,0,0,2,6,6,94.0,25.369999999999997,1,16,17
27,2011-01-27,Spring,0,1,0,4,1,1,-6,-5,68.75,11.3837,15,416,431,2011-01-02,Spring,0,1,2,0,0,0,2,5,5,100.0,28.360000000000003,1,8,9
28,2011-01-28,Spring,0,1,0,5,1,2,-6,-5,79.30430000000001,12.33,38,1129,1167,2011-01-02,Spring,0,1,3,0,0,0,2,7,7,94.0,19.400000000000002,2,4,6
29,2011-01-29,Spring,0,1,0,6,0,1,-6,-5,65.17389999999999,14.5365,123,975,1098,2011-01-02,Spring,0,1,4,0,0,0,2,7,7,94.0,19.400000000000002,2,1,3
30,2011-01-30,Spring,0,1,0,0,0,1,-5,-3,72.2174,7.39826,140,956,1096,2011-01-02,Spring,0,1,6,0,0,0,3,5,5,77.0,29.849999999999998,0,2,2
31,2011-01-31,Spring,0,1,0,1,1,2,-7,-7,60.375,18.7192,42,1459,1501,2011-01-02,Spring,0,1,7,0,0,0,2,4,4,76.0,19.400000000000002,0,1,1
32,2011-02-01,Spring,0,2,0,2,1,2,-7,-4,82.9565,5.3213,47,1313,1360,2011-01-02,Spring,0,1,8,0,0,0,3,4,4,71.0,22.39,0,8,8
33,2011-02-02,Spring,0,2,0,3,1,2,-3,-3,77.5417,26.430799999999998,72,1454,1526,2011-01-02,Spring,0,1,9,0,0,0,2,3,4,76.0,22.39,1,19,20
34,2011-02-03,Spring,0,2,0,4,1,1,-7,-7,43.7826,27.775199999999998,61,1489,1550,2011-01-02,Spring,0,1,10,0,0,0,2,2,1,81.0,22.39,7,46,53
35,2011-02-04,Spring,0,2,0,5,1,2,-6,-5,58.521699999999996,12.783900000000001,88,1620,1708,2011-01-02,Spring,0,1,11,0,0,0,2,2,0,71.0,25.369999999999997,16,54,70
36,2011-02-05,Spring,0,2,0,6,0,2,-4,-4,92.91669999999999,16.1079,100,905,1005,2011-01-02,Spring,0,1,12,0,0,0,2,2,0,66.0,29.849999999999998,20,73,93
37,2011-02-06,Spring,0,2,0,0,0,1,-1,-1,56.833299999999994,14.180000000000001,354,1269,1623,2011-01-02,Spring,0,1,13,0,0,0,2,2,1,66.0,13.43,11,64,75
38,2011-02-07,Spring,0,2,0,1,1,1,-2,0,73.83330000000001,4.54083,120,1592,1712,2011-01-02,Spring,0,1,14,0,0,0,3,2,1,76.0,19.400000000000002,4,55,59
39,2011-02-08,Spring,0,2,0,2,1,1,-5,-6,53.7917,36.195,64,1466,1530,2011-01-02,Spring,0,1,15,0,0,0,3,1,0,81.0,16.42,19,55,74
40,2011-02-09,Spring,0,2,0,3,1,2,-10,-9,49.4783,18.8839,53,1552,1605,2011-01-02,Spring,0,1,16,0,0,0,3,1,0,71.0,16.42,9,67,76
41,2011-02-10,Spring,0,2,0,4,1,1,-9,-9,43.7391,22.1935,47,1491,1538,2011-01-02,Spring,0,1,17,0,0,0,1,1,0,56.99999999999999,19.400000000000002,7,58,65
42,2011-02-11,Spring,0,2,0,5,1,1,-7,-5,50.6364,10.854999999999999,149,1597,1746,2011-01-02,Spring,0,1,18,0,0,0,2,2,0,46.0,32.84,10,43,53
43,2011-02-12,Spring,0,2,0,6,0,1,-5,-4,54.4167,20.3367,288,1184,1472,2011-01-02,Spring,0,1,19,0,0,0,1,0,-1,42.0,44.78,1,29,30
44,2011-02-13,Spring,0,2,0,0,0,1,0,0,45.7391,26.088299999999997,397,1192,1589,2011-01-02,Spring,0,1,20,0,0,0,1,-1,-2,39.0,35.82,5,17,22
45,2011-02-14,Spring,0,2,0,1,1,1,5,4,37.583299999999994,41.7908,208,1705,1913,2011-01-02,Spring,0,1,21,0,0,0,1,-3,-5,44.0,32.84,11,20,31
46,2011-02-15,Spring,0,2,0,2,1,1,-2,-3,31.434800000000003,29.137400000000003,140,1675,1815,2011-01-02,Spring,0,1,22,0,0,0,1,-4,-5,44.0,29.849999999999998,0,9,9
47,2011-02-16,Spring,0,2,0,3,1,1,0,0,42.3478,25.1791,218,1897,2115,2011-01-02,Spring,0,1,23,0,0,0,1,-5,-5,47.0,16.42,0,8,8
48,2011-02-17,Spring,0,2,0,4,1,1,6,6,50.5,23.0104,259,2216,2475,2011-01-03,Spring,0,1,0,0,1,1,1,-5,-6,44.0,35.82,0,5,5
49,2011-02-18,Spring,0,2,0,5,1,1,11,10,51.6667,26.492500000000003,579,2348,2927,2011-01-03,Spring,0,1,1,0,1,1,1,-6,-8,44.0,41.79,0,2,2
50,2011-02-19,Spring,0,2,0,6,0,1,4,3,18.7917,50.7463,532,1103,1635,2011-01-03,Spring,0,1,4,0,1,1,1,-8,-10,47.0,38.81,0,1,1
51,2011-02-20,Spring,0,2,0,0,0,1,-1,-2,40.7826,22.3235,639,1173,1812,2011-01-03,Spring,0,1,5,0,1,1,1,-8,-10,47.0,28.360000000000003,0,3,3
52,2011-02-21,Spring,0,2,1,1,0,2,0,-1,60.5,30.7846,195,912,1107,2011-01-03,Spring,0,1,6,0,1,1,1,-10,-11,50.0,38.81,0,30,30
53,2011-02-22,Spring,0,2,0,2,1,1,-7,-7,57.7778,19.5683,74,1376,1450,2011-01-03,Spring,0,1,7,0,1,1,1,-10,-10,50.0,19.400000000000002,1,63,64
54,2011-02-23,Spring,0,2,0,3,1,1,-5,-4,42.3043,9.4113,139,1778,1917,2011-01-03,Spring,0,1,8,0,1,1,1,-10,-11,50.0,28.360000000000003,1,153,154
55,2011-02-24,Spring,0,2,0,4,1,2,-1,-1,69.7391,25.049599999999998,100,1707,1807,2011-01-03,Spring,0,1,9,0,1,1,1,-8,-10,43.0,38.81,7,81,88
56,2011-02-25,Spring,0,2,0,5,1,2,2,1,71.2174,34.6539,120,1341,1461,2011-01-03,Spring,0,1,10,0,1,1,1,-7,-8,43.0,25.369999999999997,11,33,44
57,2011-02-26,Spring,0,2,0,6,0,1,-2,-2,53.7917,18.6571,424,1545,1969,2011-01-03,Spring,0,1,11,0,1,1,1,-6,-7,40.0,32.84,10,41,51
58,2011-02-27,Spring,0,2,0,0,0,1,1,1,68.0,12.524799999999999,694,1708,2402,2011-01-03,Spring,0,1,12,0,1,1,1,-5,-5,35.0,29.849999999999998,13,48,61
59,2011-02-28,Spring,0,2,0,1,1,2,4,4,87.63640000000001,28.9686,81,1365,1446,2011-01-03,Spring,0,1,13,0,1,1,1,-4,-5,35.0,28.360000000000003,8,53,61
60,2011-03-01,Spring,0,3,0,2,1,1,-2,-3,53.5,21.642500000000002,137,1714,1851,2011-01-03,Spring,0,1,14,0,1,1,1,-3,-4,30.0,28.360000000000003,11,66,77
61,2011-03-02,Spring,0,3,0,3,1,1,0,0,44.9583,30.783300000000004,231,1903,2134,2011-01-03,Spring,0,1,15,0,1,1,1,-3,-4,30.0,25.369999999999997,14,58,72
62,2011-03-03,Spring,0,3,0,4,1,1,-6,-6,31.833299999999998,22.575400000000002,123,1562,1685,2011-01-03,Spring,0,1,16,0,1,1,1,-3,-4,30.0,25.369999999999997,9,67,76
63,2011-03-04,Spring,0,3,0,5,1,2,-3,-3,61.0417,20.3346,214,1730,1944,2011-01-03,Spring,0,1,17,0,1,1,1,-4,-5,30.0,22.39,11,146,157
64,2011-03-05,Spring,0,3,0,6,0,2,3,3,78.91669999999999,25.1871,640,1437,2077,2011-01-03,Spring,0,1,18,0,1,1,1,-4,-3,32.0,10.45,9,148,157
65,2011-03-06,Spring,0,3,0,0,0,2,3,2,94.8261,34.3287,114,491,605,2011-01-03,Spring,0,1,19,0,1,1,1,-6,-3,47.0,0.0,8,102,110
66,2011-03-07,Spring,0,3,0,1,1,1,-3,-4,55.1304,34.1352,244,1628,1872,2011-01-03,Spring,0,1,20,0,1,1,1,-6,-5,47.0,10.45,3,49,52
67,2011-03-08,Spring,0,3,0,2,1,1,-1,0,42.0833,12.065,316,1817,2133,2011-01-03,Spring,0,1,21,0,1,1,1,-7,-6,64.0,13.43,3,49,52
68,2011-03-09,Spring,0,3,0,3,1,2,-1,-1,77.5417,22.015,191,1700,1891,2011-01-03,Spring,0,1,22,0,1,1,1,-10,-9,69.0,13.43,0,20,20
69,2011-03-10,Spring,0,3,0,4,1,3,3,3,0.0,26.187700000000003,46,577,623,2011-01-03,Spring,0,1,23,0,1,1,1,-7,-5,55.00000000000001,10.45,1,11,12
70,2011-03-11,Spring,0,3,0,5,1,2,0,0,64.95649999999999,23.297,247,1730,1977,2011-01-04,Spring,0,1,0,0,2,1,1,-8,-7,55.00000000000001,10.45,0,5,5
71,2011-03-12,Spring,0,3,0,6,0,1,0,0,59.458299999999994,22.0775,724,1408,2132,2011-01-04,Spring,0,1,1,0,2,1,1,-8,-7,59.0,10.45,0,2,2
72,2011-03-13,Spring,0,3,0,0,0,1,3,3,52.73910000000001,27.0604,982,1435,2417,2011-01-04,Spring,0,1,2,0,2,1,1,-10,-9,63.0,13.43,0,1,1
73,2011-03-14,Spring,0,3,0,1,1,1,0,0,49.695699999999995,13.692599999999999,359,1687,2046,2011-01-04,Spring,0,1,4,0,2,1,1,-10,-7,63.0,8.959999999999999,0,2,2
74,2011-03-15,Spring,0,3,0,2,1,2,0,0,65.5652,18.4309,289,1767,2056,2011-01-04,Spring,0,1,5,0,2,1,1,-11,-9,68.0,10.45,0,4,4
75,2011-03-16,Spring,0,3,0,3,1,2,2,2,77.65220000000001,20.3117,321,1871,2192,2011-01-04,Spring,0,1,6,0,2,1,1,-11,-9,74.0,10.45,0,36,36
76,2011-03-17,Spring,0,3,0,4,1,1,5,5,60.291700000000006,20.9579,424,2320,2744,2011-01-04,Spring,0,1,7,0,2,1,1,-11,-9,74.0,13.43,2,92,94
77,2011-03-18,Spring,0,3,0,5,1,1,12,11,52.5217,23.1017,884,2355,3239,2011-01-04,Spring,0,1,8,0,2,1,1,-10,-9,69.0,16.42,2,177,179
78,2011-03-19,Spring,0,3,0,6,0,1,8,8,37.9167,36.816700000000004,1424,1693,3117,2011-01-04,Spring,0,1,9,0,2,1,1,-8,-9,64.0,22.39,2,98,100
79,2011-03-20,Spring,0,3,0,0,0,1,0,0,47.375,20.7721,1047,1424,2471,2011-01-04,Spring,0,1,10,0,2,1,2,-8,-10,69.0,32.84,5,37,42
80,2011-03-21,Summer,0,3,0,1,1,2,6,4,73.73910000000001,28.878300000000003,401,1676,2077,2011-01-04,Spring,0,1,11,0,2,1,1,-5,-5,51.0,29.849999999999998,7,50,57
81,2011-03-22,Summer,0,3,0,2,1,1,6,6,62.4583,22.575,460,2243,2703,2011-01-04,Spring,0,1,12,0,2,1,1,-5,-5,51.0,16.42,12,66,78
82,2011-03-23,Summer,0,3,0,3,1,2,1,0,83.9565,23.426099999999998,203,1918,2121,2011-01-04,Spring,0,1,13,0,2,1,1,-4,-5,56.00000000000001,19.400000000000002,18,79,97
83,2011-03-24,Summer,0,3,0,4,1,2,-1,-2,80.58330000000001,24.378700000000002,166,1699,1865,2011-01-04,Spring,0,1,14,0,2,1,1,-3,-3,52.0,22.39,9,54,63
84,2011-03-25,Summer,0,3,0,5,1,1,-3,-3,49.5,23.0725,300,1910,2210,2011-01-04,Spring,0,1,15,0,2,1,1,-2,-2,52.0,25.369999999999997,17,48,65
85,2011-03-26,Summer,0,3,0,6,0,1,-3,-3,39.4167,20.9571,981,1515,2496,2011-01-04,Spring,0,1,16,0,2,1,1,-1,-1,49.0,25.369999999999997,15,68,83
86,2011-03-27,Summer,0,3,0,0,0,2,-3,-3,49.3913,18.43,472,1221,1693,2011-01-04,Spring,0,1,17,0,2,1,1,-2,-2,48.0,22.39,10,202,212
87,2011-03-28,Summer,0,3,0,1,1,1,-3,-3,30.2174,21.2204,222,1806,2028,2011-01-04,Spring,0,1,18,0,2,1,1,-3,-3,48.0,19.400000000000002,3,179,182
88,2011-03-29,Summer,0,3,0,2,1,1,0,-1,31.4167,22.6996,317,2108,2425,2011-01-04,Spring,0,1,19,0,2,1,1,-4,-3,48.0,10.45,2,110,112
89,2011-03-30,Summer,0,3,0,3,1,2,-1,-1,64.6667,17.2888,168,1368,1536,2011-01-04,Spring,0,1,20,0,2,1,1,-4,-3,48.0,10.45,1,53,54
90,2011-03-31,Summer,0,3,0,4,1,3,-2,-3,91.8333,21.7646,179,1506,1685,2011-01-04,Spring,0,1,21,0,2,1,1,-5,-2,64.0,0.0,0,48,48
91,2011-04-01,Summer,0,4,0,5,1,2,-1,-2,68.625,25.8708,307,1920,2227,2011-01-04,Spring,0,1,22,0,2,1,1,-5,-3,64.0,8.959999999999999,1,34,35
92,2011-04-02,Summer,0,4,0,6,0,2,0,0,65.375,19.714599999999997,898,1354,2252,2011-01-04,Spring,0,1,23,0,2,1,1,-6,-5,69.0,8.959999999999999,2,9,11
93,2011-04-03,Summer,0,4,0,0,0,1,3,3,48.0,18.221300000000003,1651,1598,3249,2011-01-05,Spring,0,1,0,0,3,1,1,-6,-3,64.0,0.0,0,6,6
94,2011-04-04,Summer,0,4,0,1,1,1,14,12,42.625,38.5571,734,2381,3115,2011-01-05,Spring,0,1,1,0,3,1,1,-8,-6,74.0,8.959999999999999,0,6,6
95,2011-04-05,Summer,0,4,0,2,1,2,5,4,64.2083,38.8067,167,1628,1795,2011-01-05,Spring,0,1,2,0,3,1,1,-8,-6,74.0,8.959999999999999,0,2,2
96,2011-04-06,Summer,0,4,0,3,1,1,3,3,47.0833,26.3063,413,2395,2808,2011-01-05,Spring,0,1,4,0,3,1,1,-4,-5,48.0,22.39,0,2,2
97,2011-04-07,Summer,0,4,0,4,1,1,6,6,60.291700000000006,16.2312,571,2570,3141,2011-01-05,Spring,0,1,5,0,3,1,1,-5,-5,47.0,16.42,0,3,3
98,2011-04-08,Summer,0,4,0,5,1,2,0,0,83.625,22.6992,172,1299,1471,2011-01-05,Spring,0,1,6,0,3,1,1,-6,-6,47.0,22.39,0,33,33
99,2011-04-09,Summer,0,4,0,6,0,2,1,1,87.75,13.308300000000001,879,1576,2455,2011-01-05,Spring,0,1,7,0,3,1,1,-7,-7,43.0,19.400000000000002,1,87,88
100,2011-04-10,Summer,0,4,0,0,0,2,5,5,85.75,14.6767,1188,1707,2895,2011-01-05,Spring,0,1,8,0,3,1,1,-6,-7,40.0,29.849999999999998,3,192,195
101,2011-04-11,Summer,0,4,0,1,1,2,15,13,71.6956,32.4474,855,2493,3348,2011-01-05,Spring,0,1,9,0,3,1,1,-5,-6,37.0,32.84,6,109,115
102,2011-04-12,Summer,0,4,0,2,1,2,10,9,73.9167,27.4879,257,1777,2034,2011-01-05,Spring,0,1,10,0,3,1,1,-5,-6,37.0,32.84,4,53,57
103,2011-04-13,Summer,0,4,0,3,1,2,5,5,81.91669999999999,25.0617,209,1953,2162,2011-01-05,Spring,0,1,11,0,3,1,1,-3,-5,33.0,32.84,12,34,46
104,2011-04-14,Summer,0,4,0,4,1,1,8,7,54.041700000000006,11.07,529,2738,3267,2011-01-05,Spring,0,1,12,0,3,1,1,-3,-5,33.0,32.84,5,74,79
105,2011-04-15,Summer,0,4,1,5,0,1,7,6,67.125,22.6375,642,2484,3126,2011-01-05,Spring,0,1,13,0,3,1,1,-2,-3,30.0,29.849999999999998,6,65,71
106,2011-04-16,Summer,0,4,0,6,0,3,6,5,88.83330000000001,34.080799999999996,121,674,795,2011-01-05,Spring,0,1,14,0,3,1,1,-1,-1,28.000000000000004,19.400000000000002,10,52,62
107,2011-04-17,Summer,0,4,0,0,0,1,7,6,47.9583,30.3496,1558,2186,3744,2011-01-05,Spring,0,1,15,0,3,1,1,-1,-1,28.000000000000004,19.400000000000002,7,55,62
108,2011-04-18,Summer,0,4,0,1,1,1,10,10,54.25,16.3567,669,2760,3429,2011-01-05,Spring,0,1,16,0,3,1,1,-1,0,28.000000000000004,8.959999999999999,4,85,89
109,2011-04-19,Summer,0,4,0,2,1,2,10,9,66.5833,15.7971,409,2795,3204,2011-01-05,Spring,0,1,17,0,3,1,1,-4,-5,38.0,19.400000000000002,4,186,190
110,2011-04-20,Summer,0,4,0,3,1,1,15,13,61.4167,24.1925,613,3331,3944,2011-01-05,Spring,0,1,18,0,3,1,1,-4,-4,38.0,13.43,3,166,169
111,2011-04-21,Summer,0,4,0,4,1,1,7,7,40.708299999999994,32.5258,745,3444,4189,2011-01-05,Spring,0,1,19,0,3,1,1,-4,-3,38.0,10.45,5,127,132
112,2011-04-22,Summer,0,4,0,5,1,2,0,0,72.9583,21.952099999999998,177,1506,1683,2011-01-05,Spring,0,1,20,0,3,1,1,-5,-5,47.0,16.42,7,82,89
113,2011-04-23,Summer,0,4,0,6,0,2,7,7,88.79169999999999,23.0725,1462,2574,4036,2011-01-05,Spring,0,1,21,0,3,1,1,-6,-6,51.0,19.400000000000002,3,40,43
114,2011-04-24,Summer,0,4,0,0,0,2,14,12,81.08330000000001,19.2175,1710,2481,4191,2011-01-05,Spring,0,1,22,0,3,1,1,-7,-6,55.00000000000001,13.43,1,41,42
115,2011-04-25,Summer,0,4,0,1,1,1,15,14,77.6667,18.5333,773,3300,4073,2011-01-05,Spring,0,1,23,0,3,1,1,-6,-3,47.0,0.0,1,18,19
116,2011-04-26,Summer,0,4,0,2,1,1,17,15,72.9167,32.65,678,3722,4400,2011-01-06,Spring,0,1,0,0,4,1,1,-7,-4,55.00000000000001,0.0,0,11,11
117,2011-04-27,Summer,0,4,0,3,1,2,16,14,83.54169999999999,31.22,547,3325,3872,2011-01-06,Spring,0,1,1,0,4,1,1,-8,-5,64.0,0.0,0,4,4
118,2011-04-28,Summer,0,4,0,4,1,2,16,14,70.08330000000001,32.0908,569,3489,4058,2011-01-06,Spring,0,1,2,0,4,1,1,-8,-5,64.0,0.0,0,2,2
119,2011-04-29,Summer,0,4,0,5,1,1,10,9,45.7083,24.0063,878,3717,4595,2011-01-06,Spring,0,1,4,0,4,1,2,-8,-6,64.0,8.959999999999999,0,1,1
120,2011-04-30,Summer,0,4,0,6,0,1,8,8,50.3333,23.5075,1965,3347,5312,2011-01-06,Spring,0,1,5,0,4,1,2,-10,-7,69.0,8.959999999999999,0,4,4
121,2011-05-01,Summer,0,5,0,0,0,2,7,7,76.2083,10.6354,1138,2213,3351,2011-01-06,Spring,0,1,6,0,4,1,2,-10,-8,63.0,10.45,0,36,36
122,2011-05-02,Summer,0,5,0,1,1,2,12,11,73.0,18.3454,847,3554,4401,2011-01-06,Spring,0,1,7,0,4,1,2,-8,-5,59.0,0.0,0,95,95
123,2011-05-03,Summer,0,5,0,2,1,2,16,14,69.7083,34.2667,603,3848,4451,2011-01-06,Spring,0,1,8,0,4,1,1,-8,-5,59.0,0.0,3,216,219
124,2011-05-04,Summer,0,5,0,3,1,2,5,4,73.70830000000001,32.8996,255,2378,2633,2011-01-06,Spring,0,1,9,0,4,1,2,-7,-4,51.0,0.0,6,116,122
125,2011-05-05,Summer,0,5,0,4,1,1,7,6,44.4167,29.539199999999997,614,3819,4433,2011-01-06,Spring,0,1,10,0,4,1,1,-6,-3,47.0,0.0,3,42,45
126,2011-05-06,Summer,0,5,0,5,1,1,8,8,59.0,22.8246,894,3714,4608,2011-01-06,Spring,0,1,11,0,4,1,1,-5,-3,44.0,8.959999999999999,2,57,59
127,2011-05-07,Summer,0,5,0,6,0,1,11,10,54.125,16.045,1612,3102,4714,2011-01-06,Spring,0,1,12,0,4,1,1,-3,-1,35.0,0.0,6,78,84
128,2011-05-08,Summer,0,5,0,0,0,1,11,11,63.1667,7.463749999999999,1401,2932,4333,2011-01-06,Spring,0,1,13,0,4,1,1,-3,-2,35.0,10.45,12,55,67
129,2011-05-09,Summer,0,5,0,1,1,1,11,11,58.875,17.599999999999998,664,3698,4362,2011-01-06,Spring,0,1,14,0,4,1,1,-2,-2,36.0,16.42,11,59,70
130,2011-05-10,Summer,0,5,0,2,1,1,11,11,48.9167,11.5671,694,4109,4803,2011-01-06,Spring,0,1,15,0,4,1,1,-2,-2,36.0,0.0,8,54,62
131,2011-05-11,Summer,0,5,0,3,1,1,12,11,63.29169999999999,12.0642,550,3632,4182,2011-01-06,Spring,0,1,16,0,4,1,1,-3,-3,38.0,16.42,12,74,86
132,2011-05-12,Summer,0,5,0,4,1,1,11,11,74.75,18.9667,695,4169,4864,2011-01-06,Spring,0,1,17,0,4,1,1,-5,-5,51.0,16.42,9,163,172
133,2011-05-13,Summer,0,5,0,5,1,2,10,9,86.33330000000001,17.9725,692,3413,4105,2011-01-06,Spring,0,1,18,0,4,1,1,-5,-5,51.0,13.43,5,158,163
134,2011-05-14,Summer,0,5,0,6,0,2,11,10,92.25,13.495,902,2507,3409,2011-01-06,Spring,0,1,19,0,4,1,1,-5,-3,55.00000000000001,8.959999999999999,3,109,112
135,2011-05-15,Summer,0,5,0,0,0,2,13,12,86.70830000000001,15.2979,1582,2971,4553,2011-01-06,Spring,0,1,20,0,4,1,1,-6,-5,51.0,16.42,3,66,69
136,2011-05-16,Summer,0,5,0,1,1,1,14,12,78.79169999999999,12.687100000000001,773,3185,3958,2011-01-06,Spring,0,1,21,0,4,1,2,-5,-5,55.00000000000001,22.39,0,48,48
137,2011-05-17,Summer,0,5,0,2,1,2,13,12,83.7917,27.7354,678,3445,4123,2011-01-06,Spring,0,1,22,0,4,1,2,-5,-5,51.0,28.360000000000003,1,51,52
138,2011-05-18,Summer,0,5,0,3,1,2,12,11,87.0,20.1492,536,3319,3855,2011-01-06,Spring,0,1,23,0,4,1,2,-6,-6,59.0,19.400000000000002,4,19,23
139,2011-05-19,Summer,0,5,0,4,1,2,11,10,82.9583,10.8213,735,3840,4575,2011-01-07,Spring,0,1,0,0,5,1,2,-6,-6,64.0,19.400000000000002,4,13,17
140,2011-05-20,Summer,0,5,0,5,1,1,12,11,71.9583,12.5013,909,4008,4917,2011-01-07,Spring,0,1,1,0,5,1,2,-6,-6,69.0,22.39,2,5,7
141,2011-05-21,Summer,0,5,0,6,0,1,15,13,62.6667,12.065,2258,3547,5805,2011-01-07,Spring,0,1,2,0,5,1,2,-6,-6,69.0,22.39,0,1,1
142,2011-05-22,Summer,0,5,0,0,0,1,15,14,74.9583,14.8008,1576,3084,4660,2011-01-07,Spring,0,1,4,0,5,1,2,-6,-5,69.0,13.43,0,1,1
